,Sample,Dataset,biome_0,biome_1,biome_2,biome_3,biome_4,family,category,mammals
ERS612896,ERS612896,MGYS00000447,root,Environmental,Aquatic,Marine,Intertidal zone,NA,Environmental,Others
ERS612897,ERS612897,MGYS00000447,root,Environmental,Aquatic,Marine,Intertidal zone,NA,Environmental,Others
ERS612898,ERS612898,MGYS00000447,root,Environmental,Aquatic,Marine,Intertidal zone,NA,Environmental,Others
ERS612899,ERS612899,MGYS00000447,root,Environmental,Aquatic,Marine,Intertidal zone,NA,Environmental,Others
ERS723591,ERS723591,MGYS00001796,root,Host-associated,Mammalia,Digestive system,Large intestine,Felidae,Animal,Mammalia
ERS723593,ERS723593,MGYS00001796,root,Host-associated,Mammalia,Digestive system,Large intestine,Felidae,Animal,Mammalia
ERS723595,ERS723595,MGYS00001796,root,Host-associated,Mammalia,Digestive system,Large intestine,Felidae,Animal,Mammalia
ERS723597,ERS723597,MGYS00001796,root,Host-associated,Mammalia,Digestive system,Large intestine,Felidae,Animal,Mammalia
ERS723600,ERS723600,MGYS00001796,root,Host-associated,Mammalia,Digestive system,Large intestine,Felidae,Animal,Mammalia
ERS723606,ERS723606,MGYS00001796,root,Host-associated,Mammalia,Digestive system,Large intestine,Felidae,Animal,Mammalia
ERS723607,ERS723607,MGYS00001796,root,Host-associated,Mammalia,Digestive system,Large intestine,Felidae,Animal,Mammalia
ERS723609,ERS723609,MGYS00001796,root,Host-associated,Mammalia,Digestive system,Large intestine,Felidae,Animal,Mammalia
ERS723612,ERS723612,MGYS00001796,root,Host-associated,Mammalia,Digestive system,Large intestine,Felidae,Animal,Mammalia
ERS723614,ERS723614,MGYS00001796,root,Host-associated,Mammalia,Digestive system,Large intestine,Felidae,Animal,Mammalia
ERS723616,ERS723616,MGYS00001796,root,Host-associated,Mammalia,Digestive system,Large intestine,Felidae,Animal,Mammalia
ERS723622,ERS723622,MGYS00001796,root,Host-associated,Mammalia,Digestive system,Large intestine,Felidae,Animal,Mammalia
ERS723624,ERS723624,MGYS00001796,root,Host-associated,Mammalia,Digestive system,Large intestine,Felidae,Animal,Mammalia
ERS723627,ERS723627,MGYS00001796,root,Host-associated,Mammalia,Digestive system,Large intestine,Felidae,Animal,Mammalia
ERS723630,ERS723630,MGYS00001796,root,Host-associated,Mammalia,Digestive system,Large intestine,Felidae,Animal,Mammalia
ERS723631,ERS723631,MGYS00001796,root,Host-associated,Mammalia,Digestive system,Large intestine,Felidae,Animal,Mammalia
ERS723632,ERS723632,MGYS00001796,root,Host-associated,Mammalia,Digestive system,Large intestine,Felidae,Animal,Mammalia
ERS723636,ERS723636,MGYS00001796,root,Host-associated,Mammalia,Digestive system,Large intestine,Felidae,Animal,Mammalia
ERS723638,ERS723638,MGYS00001796,root,Host-associated,Mammalia,Digestive system,Large intestine,Felidae,Animal,Mammalia
