Sample	Dataset	biome_0	biome_1	biome_2	biome_3	biome_4	family
ERS723675	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723631	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS1847598	MGYS00001912	root	Host-associated	Mammalia	Digestive system	Fecal	Muridae
ERS1847603	MGYS00001912	root	Host-associated	Mammalia	Digestive system	Fecal	Muridae
ERS1847609	MGYS00001912	root	Host-associated	Mammalia	Digestive system	Fecal	Muridae
ERS812544	MGYS00001951	root	Host-associated	Mammalia	Digestive system	Stomach	Bovidae
ERS812550	MGYS00001951	root	Host-associated	Mammalia	Digestive system	Stomach	Bovidae
ERS812543	MGYS00001951	root	Host-associated	Mammalia	Digestive system	Stomach	Bovidae
ERS812545	MGYS00001951	root	Host-associated	Mammalia	Digestive system	Stomach	Bovidae
ERS812547	MGYS00001951	root	Host-associated	Mammalia	Digestive system	Stomach	Bovidae
ERS812546	MGYS00001951	root	Host-associated	Mammalia	Digestive system	Stomach	Bovidae
ERS812549	MGYS00001951	root	Host-associated	Mammalia	Digestive system	Stomach	Bovidae
ERS812548	MGYS00001951	root	Host-associated	Mammalia	Digestive system	Stomach	Bovidae
ERS846465	MGYS00002018	root	Environmental	Terrestrial	Soil	Grasslands	NA
ERS846464	MGYS00002018	root	Environmental	Terrestrial	Soil	Grasslands	NA
ERS846466	MGYS00002018	root	Environmental	Terrestrial	Soil	Grasslands	NA
ERS846462	MGYS00002018	root	Environmental	Terrestrial	Soil	Grasslands	NA
ERS846467	MGYS00002018	root	Environmental	Terrestrial	Soil	Grasslands	NA
ERS846468	MGYS00002018	root	Environmental	Terrestrial	Soil	Grasslands	NA
ERS846463	MGYS00002018	root	Environmental	Terrestrial	Soil	Grasslands	NA
ERS846461	MGYS00002018	root	Environmental	Terrestrial	Soil	Grasslands	NA
ERS846458	MGYS00002018	root	Environmental	Terrestrial	Soil	Permafrost	NA
